	Game	Year	Genre	Publisher	North America	Europe	Japan	Rest of World	Global
310	Jikkyou Powerful Pro Baseball 2016	2016	Sports	Konami Digital Entertainment	0.0	0.0	240000.0	0.0	240000.0
311	The Elder Scrolls Online: Morrowind	2017	MMO	Bethesda Softworks	110000.0	90000.0	0.0	40000.0	240000.0
312	Digimon World: Next Order	2017	Role-Playing	Namco Bandai Games	130000.0	50000.0	20000.0	40000.0	240000.0
313	theHunter: Call of the Wild	2017	Shooter	Astragon	190000.0	0.0	0.0	40000.0	230000.0
314	Tony Hawk's Pro Skater 5	2015	Sports	Activision	110000.0	80000.0	0.0	40000.0	230000.0
315	Angry Birds: Star Wars	2013	Puzzle	Activision	110000.0	90000.0	0.0	40000.0	240000.0
316	Elex	2017	Role-Playing	THQ Nordic	30000.0	160000.0	0.0	40000.0	230000.0
317	RIGS: Mechanized Combat League	2016	Action	Sony Interactive Entertainment	110000.0	60000.0	20000.0	40000.0	230000.0
318	Transformer: Rise of the Dark Spark	2014	Shooter	Activision	80000.0	110000.0	10000.0	40000.0	240000.0
319	Dead Island Definitive Collection	2016	Action	Deep Silver	90000.0	80000.0	30000.0	30000.0	230000.0
320	Metal Gear Survive	2018	Action	Konami Digital Entertainment	80000.0	60000.0	50000.0	30000.0	220000.0
321	Singstar Celebration	2017	Music	Sony Interactive Entertainment	40000.0	150000.0	0.0	30000.0	220000.0
322	Dead by Daylight	2017	Action	505 Games	110000.0	60000.0	20000.0	40000.0	230000.0
323	Attack on Titan 2	2018	Action	Koei Tecmo	90000.0	40000.0	60000.0	30000.0	220000.0
324	The Wolf Among Us	2014	Adventure	Telltale Games	110000.0	70000.0	0.0	40000.0	220000.0
325	Micro Machines: World Series	2017	Racing	Codemasters	30000.0	160000.0	0.0	30000.0	220000.0
326	Bladestorm: Nightmare	2015	Action	Tecmo Koei	110000.0	40000.0	30000.0	30000.0	210000.0
327	Zombie Army Trilogy	2015	Shooter	Rebellion Developments	60000.0	130000.0	0.0	30000.0	220000.0
328	Outlast Trinity	2017	Action	Warner Bros. Interactive Entertainment	90000.0	90000.0	0.0	40000.0	220000.0
329	EVE: Valkyrie	2016	Shooter	Sony Interactive Entertainment	110000.0	60000.0	0.0	40000.0	210000.0
330	Senran Kagura: Peach Beach Splash	2017	Action	PQube	90000.0	20000.0	80000.0	20000.0	210000.0
331	Ys VIII: Lacrimosa of Dana	2017	Role-Playing	NIS America	80000.0	40000.0	80000.0	20000.0	220000.0
332	Bound By Flame	2014	Action	Focus Home Interactive	80000.0	90000.0	0.0	40000.0	210000.0
333	NBA Live 16	2015	Sports	EA Sports	130000.0	50000.0	0.0	40000.0	220000.0
334	7 Days to Die	2016	Action	Telltale Games	90000.0	80000.0	0.0	30000.0	200000.0
335	Dynasty Warriors 8: Empires	2014	Misc	Tecmo Koei	70000.0	70000.0	40000.0	30000.0	210000.0
336	Dragon's Dogma	2017	Role-Playing	Capcom	70000.0	70000.0	30000.0	30000.0	200000.0
337	Godzilla (2015)	2014	Action	Namco Bandai Games	110000.0	30000.0	30000.0	30000.0	200000.0
338	Eagle Flight	2016	Adventure	Ubisoft	90000.0	80000.0	0.0	30000.0	200000.0
339	Agents of Mayhem	2017	Action	Deep Silver	80000.0	80000.0	0.0	30000.0	190000.0
340	MotoGP 14 	2014	Racing	Milestone S.r.l.	50000.0	110000.0	0.0	30000.0	190000.0
341	Elite: Dangerous	2017	Simulation	Frontier Developments	60000.0	100000.0	0.0	30000.0	190000.0
342	Singstar: Ultimate Party	2014	Music	Sony Computer Entertainment	0.0	160000.0	0.0	30000.0	190000.0
343	Toukiden Kiwami	2015	Action	Tecmo Koei	60000.0	70000.0	30000.0	30000.0	190000.0
344	Batman: A Telltale Game Series	2016	Adventure	Telltale Games	90000.0	70000.0	0.0	30000.0	190000.0
345	The Surge	2017	Action	Koch Media	70000.0	80000.0	10000.0	30000.0	190000.0
346	MotoGP 15	2015	Racing	Milestone S.r.l.	0.0	130000.0	40000.0	20000.0	190000.0
347	Resident Evil: Revelations	2017	Action	Capcom	60000.0	60000.0	40000.0	20000.0	180000.0
348	Senran Kagura: Estival Versus	2015	Action	Marvelous Interactive	80000.0	0.0	90000.0	20000.0	190000.0
349	Back to the Future: The Game	2015	Adventure	Telltale Games	100000.0	50000.0	0.0	30000.0	180000.0
350	The Walking Dead - The Telltale Series: A New Frontier	2017	Adventure	Warner Bros. Interactive Entertainment	110000.0	40000.0	0.0	30000.0	180000.0
351	Resident Evil 6	2016	Shooter	Capcom	100000.0	0.0	50000.0	20000.0	170000.0
352	Final Fantasy XIV: Heavensward	2015	MMO	Square Enix	0.0	90000.0	60000.0	20000.0	170000.0
353	Final Fantasy XIV: Stormblood	2017	MMO	Square Enix	50000.0	60000.0	40000.0	20000.0	170000.0
354	Guilty Gear Xrd: Sign	2014	Fighting	Arc System Works	110000.0	0.0	40000.0	20000.0	170000.0
355	Prototype: Biohazard Bundle	2016	Action	Activision	140000.0	0.0	0.0	30000.0	170000.0
356	BlazBlue Central Fiction	2016	Fighting	PQube	100000.0	0.0	50000.0	20000.0	170000.0
357	MXGP 3: The Official Motocross Videogame	2017	Racing	Milestone	60000.0	80000.0	0.0	30000.0	170000.0
358	Ride 2	2016	Racing	Milestone S.r.l	70000.0	60000.0	10000.0	30000.0	170000.0
359	Dead Rising 4	2017	Action-Adventure	Capcom	80000.0	50000.0	0.0	30000.0	160000.0
360	Putty Squad	2013	Platform	System 3	60000.0	70000.0	0.0	30000.0	160000.0
361	Digimon Story: Cyber Sleuth - Hacker's Memory	2017	Role-Playing	Namco Bandai Games	50000.0	50000.0	40000.0	20000.0	160000.0
362	Battlezone	2016	Action	Sony Interactive Entertainment	90000.0	40000.0	0.0	30000.0	160000.0
363	Naruto Shippuden: Ultimate Ninja Storm Legacy	2017	Fighting	Namco Bandai Games	70000.0	40000.0	30000.0	20000.0	160000.0
364	Berserk and the Band of the Hawk	2016	Action	Tecmo Koei	70000.0	20000.0	50000.0	20000.0	160000.0
365	BlazBlue: Chrono Phantasma Extend	2015	Fighting	PQube	80000.0	40000.0	20000.0	20000.0	160000.0
366	Pillars of Eternity	2017	Role-Playing	Paradox Interactive 	110000.0	20000.0	0.0	30000.0	160000.0
367	Valkyria: Azure Revolution	2017	Role-Playing	Deep Silver	40000.0	30000.0	70000.0	20000.0	160000.0
368	Gravity Rush Remastered	2015	Action-Adventure	Sony Computer Entertainment	20000.0	60000.0	50000.0	20000.0	150000.0
369	Psycho-Pass: Mandatory Happiness	2016	Visual Novel	NIS America	100000.0	20000.0	0.0	30000.0	150000.0
370	Brothers: A Tale of Two Sons	2015	Adventure	505 Games	40000.0	90000.0	0.0	20000.0	150000.0
371	Warriors Orochi 3	2014	Action	Tecmo Koei	40000.0	50000.0	40000.0	20000.0	150000.0
372	Wasteland 2	2015	Role-Playing	Deep Silver	100000.0	0.0	30000.0	20000.0	150000.0
373	Atelier Sophie: The Alchemist of the Mysterious Book	2015	Role-Playing	Tecmo Koei	40000.0	30000.0	70000.0	10000.0	150000.0
374	NASCAR Heat Evolution	2016	Racing	Dusenberry Martin Racing	120000.0	0.0	0.0	30000.0	150000.0
375	Yakuza: Ishin	2014	Adventure	Sega	0.0	0.0	150000.0	0.0	150000.0
376	Toukiden 2	2016	Action	Tecmo Koei	40000.0	0.0	100000.0	10000.0	150000.0
377	Song of the Deep	2016	Action	Insomniac Games	120000.0	0.0	0.0	30000.0	150000.0
378	Super Robot Wars V	2017	Role-Playing	Namco Bandai Games	0.0	0.0	150000.0	0.0	150000.0
379	Blue Reflection: Maboroshi ni Mau - Shoujo no Ken	2017	Role-Playing	Tecmo Koei	70000.0	0.0	60000.0	20000.0	150000.0
380	Yonmegami Online: Cyber Dimension Neptune	2017	Role-Playing	Idea Factory International	60000.0	0.0	70000.0	10000.0	140000.0
381	Grand Kingdom	2015	Role-Playing	NIS America	80000.0	0.0	40000.0	20000.0	140000.0
382	Arslan: The Warriors of Legend	2016	Action	Tecmo Koei	30000.0	40000.0	60000.0	10000.0	140000.0
383	Pro Cycling Manager 2016	2016	Sports	Focus Home Interactive	0.0	120000.0	0.0	20000.0	140000.0
384	Shovel Knight	2015	Platform	Yacht Club Games	80000.0	40000.0	0.0	20000.0	140000.0
385	Adventure Time: Finn & Jake Investigations	2015	Action	Little Orbit	70000.0	50000.0	0.0	20000.0	140000.0
386	Guilty Gear Xrd -Revelator-	2016	Fighting	PQube	60000.0	0.0	70000.0	10000.0	140000.0
387	We Happy Few	2018	Action-Adventure	Gearbox Software	80000.0	40000.0	0.0	20000.0	140000.0
388	Rocksmith 2014 Edition Remastered	2016	Music	Ubisoft	110000.0	0.0	0.0	30000.0	140000.0
389	The Crew: Wild Run	2015	Racing	Ubisoft	0.0	120000.0	0.0	20000.0	140000.0
