,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
103,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,450000.0,190000.0,0.0,70000.0,710000.0
104,The Evil Within,2014,Misc,Bethesda Softworks,360000.0,270000.0,0.0,60000.0,690000.0
105,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,280000.0,350000.0,0.0,50000.0,680000.0
106,Borderlands: The Handsome Collection,2015,Shooter,2K Games,490000.0,130000.0,0.0,70000.0,690000.0
107,Evolve,2015,Shooter,2K Games,400000.0,200000.0,0.0,60000.0,660000.0
108,WWE 2K18,2017,Sports,2K Sports,350000.0,250000.0,0.0,60000.0,660000.0
109,Tomb Raider (2013),2014,Action-Adventure,Square Enix,380000.0,220000.0,0.0,60000.0,660000.0
110,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,420000.0,170000.0,0.0,60000.0,650000.0
111,WWE 2K16,2015,Sports,Take-Two Interactive,340000.0,240000.0,0.0,60000.0,640000.0
112,Kinect Sports Rivals,2014,Sports,Microsoft Studios,300000.0,250000.0,20000.0,50000.0,620000.0
113,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,400000.0,170000.0,0.0,60000.0,630000.0
114,WWE 2K15,2014,Sports,2K Sports,320000.0,230000.0,0.0,50000.0,600000.0
115,EA Sports UFC 2,2016,Sports,EA Sports,360000.0,190000.0,0.0,60000.0,610000.0
116,NHL 17,2016,Sports,EA Sports,520000.0,10000.0,0.0,60000.0,590000.0
117,Tekken 7,2017,Fighting,Namco Bandai Games,300000.0,230000.0,0.0,50000.0,580000.0
118,LEGO Marvel Super Heroes 2,2017,Action,Warner Bros. Interactive Entertainment,320000.0,200000.0,0.0,50000.0,570000.0
119,WWE 2K17,2016,Sports,2K Games,260000.0,260000.0,0.0,50000.0,570000.0
120,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,350000.0,150000.0,0.0,50000.0,550000.0
121,Just Dance 2015,2014,Music,Ubisoft,360000.0,130000.0,0.0,50000.0,540000.0
122,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,380000.0,90000.0,0.0,50000.0,520000.0
123,Alien: Isolation,2014,Adventure,Sega,230000.0,250000.0,0.0,40000.0,520000.0
124,Halo Wars 2,2017,Strategy,Microsoft Studios,310000.0,150000.0,0.0,50000.0,510000.0
125,NHL 16,2015,Sports,EA Sports,410000.0,50000.0,0.0,50000.0,510000.0
126,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,240000.0,220000.0,0.0,40000.0,500000.0
127,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,290000.0,160000.0,0.0,50000.0,500000.0
128,LEGO Marvel's Avengers,2016,Action,Warner Bros. Interactive Entertainment,260000.0,180000.0,0.0,40000.0,480000.0
129,Zoo Tycoon (2013),2013,Simulation,Microsoft Studios,250000.0,180000.0,0.0,40000.0,470000.0
130,Steep,2016,Sports,Ubisoft,240000.0,200000.0,0.0,40000.0,480000.0
131,Thief 4,2014,Action,Square Enix,260000.0,170000.0,0.0,40000.0,470000.0
132,Just Dance 2014,2013,Music,Ubisoft,310000.0,120000.0,0.0,40000.0,470000.0
133,EA Sports UFC,2014,Fighting,Electronic Arts,300000.0,130000.0,0.0,40000.0,470000.0
134,BioShock The Collection,2016,Shooter,2K Games,350000.0,80000.0,0.0,50000.0,480000.0
135,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,330000.0,90000.0,0.0,50000.0,470000.0
136,ARK: Survival Evolved,2017,Action-Adventure,Studio Wildcard,300000.0,120000.0,0.0,40000.0,460000.0
137,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,300000.0,120000.0,0.0,40000.0,460000.0
138,Prey (2017),2017,Shooter,Bethesda Softworks,210000.0,200000.0,0.0,40000.0,450000.0
139,Skylanders: Trap Team,2014,Platform,Activision,340000.0,70000.0,0.0,40000.0,450000.0
140,Lego Batman 3: Beyond Gotham,2014,Action,Warner Bros. Interactive Entertainment,240000.0,170000.0,0.0,40000.0,450000.0
141,EA Sports UFC 3,2018,Sports,EA Sports,300000.0,100000.0,0.0,40000.0,440000.0
142,Rocksmith 2014,2014,Music,Ubisoft,310000.0,80000.0,0.0,40000.0,430000.0
143,Sniper Elite 3,2014,Shooter,505 Games,270000.0,120000.0,0.0,40000.0,430000.0
144,Hello Neighbor,2017,Action,Gearbox Software,270000.0,110000.0,0.0,40000.0,420000.0
145,NHL 15,2014,Sports,EA Sports,320000.0,60000.0,0.0,40000.0,420000.0
146,Project CARS,2015,Racing,Bandai Namco Games,210000.0,160000.0,0.0,40000.0,410000.0
147,Destiny: The Collection,2016,Shooter,Activision,250000.0,120000.0,0.0,40000.0,410000.0
148,Skylanders: SuperChargers,2015,Action-Adventure,Activision,310000.0,50000.0,0.0,40000.0,400000.0
149,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,250000.0,110000.0,0.0,40000.0,400000.0
150,NHL 18,2017,Sports,EA Sports,320000.0,30000.0,0.0,40000.0,390000.0
151,The Evil Within II,2017,Action,Bethesda Softworks,250000.0,100000.0,0.0,40000.0,390000.0
152,Rayman Legends,2014,Platform,Ubisoft,130000.0,220000.0,0.0,30000.0,380000.0
153,Just Dance 2016,2015,Music,Ubisoft,300000.0,40000.0,0.0,40000.0,380000.0
154,Skylanders SWAP Force,2013,Misc,Activision,250000.0,70000.0,0.0,30000.0,350000.0
155,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,250000.0,70000.0,0.0,30000.0,350000.0
156,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,210000.0,110000.0,0.0,30000.0,350000.0
157,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,260000.0,50000.0,0.0,30000.0,340000.0
158,Just Dance 2017,2016,Music,Ubisoft,250000.0,50000.0,0.0,30000.0,330000.0
159,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,210000.0,90000.0,0.0,30000.0,330000.0
160,The Crew 2,2018,Racing,Ubisoft,200000.0,100000.0,0.0,30000.0,330000.0
161,Farming Simulator 17,2016,Simulation,Focus Home Interactive,190000.0,110000.0,0.0,30000.0,330000.0
162,METRO 2033,2014,Shooter,Deep Silver,150000.0,140000.0,0.0,30000.0,320000.0
163,Hitman (2016),2017,Action,Square Enix,200000.0,80000.0,0.0,30000.0,310000.0
164,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,150000.0,120000.0,0.0,30000.0,300000.0
165,Final Fantasy Type-0,2015,Role-Playing,Square Enix,200000.0,70000.0,0.0,30000.0,300000.0
166,Sniper Elite 4,2017,Shooter,Rebellion Developments,180000.0,90000.0,0.0,30000.0,300000.0
167,Sonic Forces,2017,Platform,Sega,150000.0,110000.0,0.0,30000.0,290000.0
168,Dark Souls II,2015,Role-Playing,Namco Bandai Games,190000.0,70000.0,0.0,30000.0,290000.0
169,Battleborn,2016,Shooter,2K Games,200000.0,50000.0,0.0,30000.0,280000.0
170,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,160000.0,90000.0,0.0,20000.0,270000.0
171,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,130000.0,120000.0,0.0,20000.0,270000.0
172,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,130000.0,130000.0,0.0,20000.0,280000.0
173,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,130000.0,130000.0,0.0,20000.0,280000.0
174,Minecraft: Story Mode - Season Two,2017,Adventure,Telltale Games,170000.0,80000.0,0.0,20000.0,270000.0
175,Skylanders Imaginators,2016,Platform,Activision,190000.0,50000.0,0.0,30000.0,270000.0
176,Friday the 13th: The Game,2017,Action,Gun Media,210000.0,30000.0,0.0,30000.0,270000.0
177,ReCore,2016,Action-Adventure,Microsoft Studios,160000.0,60000.0,10000.0,20000.0,250000.0
178,F1 2015,2015,Racing,Codemasters,90000.0,150000.0,0.0,20000.0,260000.0
179,L.A. Noire,2017,Adventure,Rockstar Games,140000.0,90000.0,0.0,20000.0,250000.0
180,Trials Fusion,2014,Racing,Ubisoft,120000.0,100000.0,0.0,20000.0,240000.0
181,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,160000.0,60000.0,0.0,20000.0,240000.0
182,Zumba Fitness: World Party,2013,Misc,Majesco Entertainment,170000.0,50000.0,0.0,20000.0,240000.0
183,Saints Row IV,2015,Action,Deep Silver,130000.0,90000.0,0.0,20000.0,240000.0
184,Farming Simulator 2015,2015,Simulation,Koch Media,130000.0,90000.0,0.0,20000.0,240000.0
185,A Way Out,2018,Action,Electronic Arts,170000.0,50000.0,0.0,20000.0,240000.0
186,NBA Live 14,2013,Sports,EA Sports,190000.0,20000.0,0.0,20000.0,230000.0
187,Payday 2,2015,Shooter,505 Games,140000.0,70000.0,0.0,20000.0,230000.0
188,DiRT 4,2017,Racing,Codemasters,110000.0,100000.0,0.0,20000.0,230000.0
189,NBA Live 15,2014,Sports,Electronic Arts,180000.0,20000.0,0.0,20000.0,220000.0
190,F1 2016 (Codemasters),2016,Racing,Codemasters,90000.0,120000.0,0.0,20000.0,230000.0
191,Deadpool,2015,Action,Activision,170000.0,30000.0,0.0,20000.0,220000.0
192,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,120000.0,80000.0,0.0,20000.0,220000.0
193,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,140000.0,60000.0,0.0,20000.0,220000.0
194,Lords of the Fallen,2014,Role-Playing,Square Enix,100000.0,100000.0,0.0,20000.0,220000.0
195,Super Lucky's Tale,2017,Platform,Microsoft Studios,130000.0,70000.0,0.0,20000.0,220000.0
196,DiRT Rally,2016,Racing,Codemasters,120000.0,80000.0,0.0,20000.0,220000.0
197,Just Dance 2018,2017,Music,Ubisoft,150000.0,40000.0,0.0,20000.0,210000.0
198,Homefront: The Revolution,2016,Shooter,Deep Silver,100000.0,90000.0,0.0,20000.0,210000.0
199,State of Decay,2015,Action-Adventure,Microsoft Studios,140000.0,50000.0,0.0,20000.0,210000.0
200,NBA Live 18,2017,Sports,EA Sports,180000.0,0.0,0.0,20000.0,200000.0
201,theHunter: Call of the Wild,2017,Shooter,Astragon,180000.0,0.0,0.0,20000.0,200000.0
202,Sleeping Dogs,2014,Action-Adventure,Square Enix,100000.0,90000.0,0.0,20000.0,210000.0
203,Project CARS 2,2017,Racing,Namco Bandai Games,10000.0,180000.0,0.0,10000.0,200000.0
204,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,120000.0,60000.0,0.0,20000.0,200000.0
205,Dishonored,2015,Action,Bethesda Softworks,130000.0,50000.0,0.0,20000.0,200000.0
206,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,110000.0,70000.0,0.0,20000.0,200000.0
207,Fantasia: Music Evolved,2014,Music,Disney Interactive Studios,140000.0,30000.0,0.0,20000.0,190000.0
208,Mirror's Edge 2,2016,Platform,Electronic Arts,110000.0,60000.0,0.0,20000.0,190000.0
210,Naruto to Boruto: Shinobi Striker,2018,Action,Bandai Namco Games,170000.0,0.0,0.0,20000.0,190000.0
211,XCOM 2,2016,Strategy,2K Games,150000.0,20000.0,0.0,20000.0,190000.0
212,F1 2017,2017,Racing,Koch Media,40000.0,130000.0,0.0,10000.0,180000.0
213,Shape Up,2014,Sports,Ubisoft,80000.0,90000.0,0.0,10000.0,180000.0
214,Cities: Skylines,2017,Simulation,Deep Silver,130000.0,30000.0,0.0,20000.0,180000.0
215,Sniper: Ghost Warrior 3,2017,Shooter,City Interactive,110000.0,50000.0,0.0,20000.0,180000.0
216,Project Spark (Working Title),2014,Misc,Microsoft Studios,110000.0,50000.0,0.0,20000.0,180000.0
217,Rush: A Disney Pixar Adventure,2017,Adventure,Microsoft Studios,150000.0,0.0,0.0,20000.0,170000.0
218,Fighter Within,2013,Fighting,Ubisoft,80000.0,70000.0,0.0,10000.0,160000.0
219,Murdered: Soul Suspect,2014,Action-Adventure,Square Enix,80000.0,70000.0,0.0,10000.0,160000.0
220,Pac-Man Championship Edition 2 + Arcade Game Series,2016,Action,Namco Bandai Games,150000.0,0.0,0.0,20000.0,170000.0
221,Angry Birds: Star Wars,2013,Puzzle,Activision,110000.0,40000.0,0.0,20000.0,170000.0
222,Little Nightmares,2017,Platform,Namco Bandai Games,120000.0,30000.0,0.0,20000.0,170000.0
223,The Walking Dead: Season One,2014,Adventure,Telltale Games,80000.0,60000.0,0.0,10000.0,150000.0
224,Wolfenstein: The Old Blood,2015,Shooter,Bethesda Softworks,70000.0,70000.0,0.0,10000.0,150000.0
225,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,40000.0,100000.0,0.0,10000.0,150000.0
226,Transformer: Rise of the Dark Spark,2014,Shooter,Activision,100000.0,30000.0,0.0,10000.0,140000.0
227,The Escapists 2,2017,Action,Sold Out,50000.0,80000.0,0.0,10000.0,140000.0
228,Transformers: Devastation,2015,Action,Activision,100000.0,40000.0,0.0,10000.0,150000.0
229,Spintires: MudRunner,2017,Simulation,Focus Home Interactive,110000.0,20000.0,0.0,10000.0,140000.0
230,DmC: Devil May Cry,2015,Action,Capcom,90000.0,40000.0,0.0,10000.0,140000.0
231,Attack on Titan (KOEI),2016,Action,Tecmo Koei,60000.0,70000.0,0.0,10000.0,140000.0
232,Tony Hawk's Pro Skater 5,2015,Sports,Activision,110000.0,20000.0,0.0,10000.0,140000.0
233,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,Namco Bandai Games,110000.0,20000.0,0.0,10000.0,140000.0
234,The Walking Dead: Season Two,2014,Misc,Telltale Games,80000.0,50000.0,0.0,10000.0,140000.0
235,Resident Evil: Revelations 2,2015,Action,Capcom,100000.0,20000.0,0.0,10000.0,130000.0
236,Dishonored: Death of the Outsider,2017,Action,Bethesda Softworks,70000.0,60000.0,0.0,10000.0,140000.0
237,Ultimate Marvel vs. Capcom 3,2017,Fighting,Capcom,120000.0,0.0,0.0,10000.0,130000.0
238,The Elder Scrolls Online: Morrowind,2017,MMO,Bethesda Softworks,90000.0,30000.0,0.0,10000.0,130000.0
239,Hasbro Family Fun Pack,2015,Misc,Ubisoft,100000.0,20000.0,0.0,10000.0,130000.0
240,Rocksmith 2014 Edition Remastered,2016,Music,Ubisoft,120000.0,0.0,0.0,10000.0,130000.0
241,Song of the Deep,2016,Action,Insomniac Games,120000.0,0.0,0.0,10000.0,130000.0
242,NBA Live 16,2015,Sports,EA Sports,110000.0,10000.0,0.0,10000.0,130000.0
243,Outlast Trinity,2017,Action,Warner Bros. Interactive Entertainment,100000.0,20000.0,0.0,10000.0,130000.0
244,Sonic Mania,2017,Platform,Sega,90000.0,30000.0,0.0,10000.0,130000.0
245,Dead by Daylight,2017,Action,505 Games,80000.0,30000.0,0.0,10000.0,120000.0
246,Darksiders III,2018,Action,THQ Nordic,110000.0,0.0,0.0,10000.0,120000.0
247,Vampyr,2018,Role-Playing,Focus Home Interactive,70000.0,40000.0,0.0,10000.0,120000.0
248,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,Warner Bros. Interactive Entertainment,100000.0,10000.0,0.0,10000.0,120000.0
249,NASCAR Heat 2,2017,Racing,505 Games,110000.0,0.0,0.0,10000.0,120000.0
250,Life is Strange,2016,Adventure,Square Enix,80000.0,30000.0,0.0,10000.0,120000.0
251,Wolfenstein The Two Pack,2017,Shooter,Bethesda Softworks,110000.0,0.0,0.0,10000.0,120000.0
252,The Surge,2017,Action,Koch Media,70000.0,40000.0,0.0,10000.0,120000.0
253,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,110000.0,0.0,0.0,10000.0,120000.0
254,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,50000.0,60000.0,0.0,10000.0,120000.0
255,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,60000.0,50000.0,0.0,10000.0,120000.0
256,7 Days to Die,2016,Action,Telltale Games,90000.0,20000.0,0.0,10000.0,120000.0
257,Zombie Army Trilogy,2015,Shooter,Rebellion Developments,50000.0,50000.0,0.0,10000.0,110000.0
258,Prototype: Biohazard Bundle,2016,Action,Activision,100000.0,0.0,0.0,10000.0,110000.0
259,Ride,2015,Racing,Milestone S.r.l.,50000.0,50000.0,0.0,10000.0,110000.0
260,Agents of Mayhem,2017,Action,Deep Silver,70000.0,30000.0,0.0,10000.0,110000.0
261,Metal Gear Solid V: The Definitive Experience,2016,Action,Konami Digital Entertainment,100000.0,0.0,0.0,10000.0,110000.0
262,Killer Instinct (2013),2014,Fighting,Microsoft Studios,70000.0,30000.0,0.0,10000.0,110000.0
263,MXGP 2,2016,Racing,Milestone S.r.l.,70000.0,20000.0,0.0,10000.0,100000.0
264,NASCAR Heat Evolution,2016,Racing,Dusenberry Martin Racing,90000.0,0.0,0.0,10000.0,100000.0
265,TrackMania Turbo,2016,Racing,Ubisoft,50000.0,40000.0,0.0,10000.0,100000.0
266,Divinity: Original Sin,2015,Role-Playing,Focus Home Interactive,60000.0,30000.0,0.0,10000.0,100000.0
267,Dead or Alive 5,2015,Fighting,Tecmo Koei,50000.0,30000.0,10000.0,10000.0,100000.0
268,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,50000.0,30000.0,0.0,10000.0,90000.0
269,Resident Evil Zero,2016,Action-Adventure,Capcom,70000.0,20000.0,0.0,10000.0,100000.0
270,Sword Art Online: Fatal Bullet,2018,Role-Playing,Namco Bandai Games,90000.0,0.0,0.0,10000.0,100000.0
271,Yooka-Laylee,2017,Platform,Sold Out,50000.0,40000.0,0.0,10000.0,100000.0
272,Real Farm,2017,Simulation,Soedesco,80000.0,0.0,0.0,10000.0,90000.0
273,We Happy Few,2018,Action-Adventure,Gearbox Software,70000.0,10000.0,0.0,10000.0,90000.0
274,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,Gearbox Software,80000.0,0.0,0.0,10000.0,90000.0
275,The Wolf Among Us,2014,Adventure,Telltale Games,60000.0,20000.0,0.0,10000.0,90000.0
276,Attack on Titan 2,2018,Action,Koei Tecmo,80000.0,0.0,0.0,10000.0,90000.0
277,Rugby 15,2015,Sports,Bigben Interactive,30000.0,50000.0,0.0,10000.0,90000.0
